,Date,Title_net,Title_imdb,genre,rating
0,2023-01-29,The Godfather,,,
3,2023-01-29,Arrested Development,Arrested Development,Comedy            ,8.7
7,2023-01-28,Wednesday,Wednesday,"Comedy, Crime, Fantasy            ",8.2
9,2023-01-14,The Pale Blue Eye,The Pale Blue Eye,"Crime, Horror, Mystery            ",6.6
10,2023-01-08,1899,1899,"Drama, Mystery            ",7.4
11,2023-01-06,White Noise,White Noise,"Comedy, Drama, Horror            ",5.7
16,2022-12-23,Guillermo del Toro's Cabinet of Curiosities,Guillermo del Toro's Cabinet of Curiosities,"Drama, Horror, Mystery            ",7.0
21,2022-12-12,Harry & Meghan,Harry & Meghan,Documentary            ,4.9
23,2022-12-12,Riverdale,Riverdale,"Crime, Drama, Mystery            ",6.6
26,2022-12-11,The Gray Man,The Gray Man,"Action, Thriller            ",6.5
30,2022-11-30,Dead to Me,Dead to Me,"Comedy, Crime, Drama            ",8.0
42,2022-09-18,Do Revenge,Do Revenge,Comedy            ,6.3
43,2022-09-18,Love Is Blind,Love Is Blind,"Game-Show, Reality-TV, Romance            ",6.1
45,2022-08-21,Persuasion,Persuasion,"Drama, Romance            ",5.8
49,2022-06-27,The Man from Toronto,The Man from Toronto,"Action, Adventure, Comedy            ",5.8
51,2022-06-18,Spiderhead,Spiderhead,"Action, Crime, Drama            ",5.4
53,2022-06-17,God's Favorite Idiot,God's Favorite Idiot,"Comedy, Fantasy            ",5.7
58,2022-05-20,I Think You Should Leave with Tim Robinson,I Think You Should Leave with Tim Robinson,Comedy            ,7.9
60,2022-05-19,The Weekend Away,The Weekend Away,"Crime, Drama, Mystery            ",5.6
61,2022-04-23,Anatomy of a Scandal,Anatomy of a Scandal,"Drama, Thriller            ",7.0
63,2022-04-22,Russian Doll,Russian Doll,"Comedy, Drama, Mystery            ",7.8
64,2022-04-20,Space Force,Space Force,Comedy            ,6.7
68,2022-03-31,Downsizing,Downsizing,"Drama, Fantasy, Sci-Fi            ",5.8
73,2022-03-27,Bridgerton,Bridgerton,"Drama, History, Romance            ",7.4
78,2022-03-13,The Adam Project,The Adam Project,"Action, Adventure, Comedy            ",6.7
79,2022-01-21,Too Hot to Handle,Too Hot to Handle,"Game-Show, Reality-TV, Romance            ",4.7
80,2022-01-21,After Life,After Life,"Comedy, Drama            ",8.4
