,Title,Date,Title_net,title,Title_imdb
0,The Godfather,29/01/2023,The Godfather,,
1,Trolls,29/01/2023,Trolls,,
2,VINLAND SAGA: Season 1: Episode 1,29/01/2023,VINLAND SAGA,,
3,Arrested Development: Season 1: Pilot,29/01/2023,Arrested Development,,
4,Puss in Boots,29/01/2023,Puss in Boots,,
5,The Book of Eli,28/01/2023,The Book of Eli,,
6,â€‹SAINT SEIYA: Knights of the Zodiac: Part I: Phoenix Rising,28/01/2023,â€‹SAINT SEIYA,,
7,â€‹SAINT SEIYA: Knights of the Zodiac: Part I: The Black Knights,28/01/2023,â€‹SAINT SEIYA,,
8,â€‹SAINT SEIYA: Knights of the Zodiac: Part I: Nebula Chain,28/01/2023,â€‹SAINT SEIYA,,
9,â€‹SAINT SEIYA: Knights of the Zodiac: Part I: Enter the Dragon,28/01/2023,â€‹SAINT SEIYA,,
10,â€‹SAINT SEIYA: Knights of the Zodiac: Part I: Burn Your Cosmo,28/01/2023,â€‹SAINT SEIYA,,
11,â€‹SAINT SEIYA: Knights of the Zodiac: Part I: SEIYA,28/01/2023,â€‹SAINT SEIYA,,
12,Wednesday: Season 1: Wednesday's Child Is Full of Woe,28/01/2023,Wednesday,"
2.
Wednesday
(2022– )
",Wednesday
13,Wednesday: Season 1: Wednesday's Child Is Full of Woe,28/01/2023,Wednesday,"
2.
Wednesday
(2022– )
",Wednesday
14,Eat the Rich: The GameStop Saga: Limited Series: The Reckoning,19/01/2023,Eat the Rich,,
15,Eat the Rich: The GameStop Saga: Limited Series: To the Moon,17/01/2023,Eat the Rich,,
16,Eat the Rich: The GameStop Saga: Limited Series: I Like The Stock,15/01/2023,Eat the Rich,,
17,The Pale Blue Eye,14/01/2023,The Pale Blue Eye,"
6.
The Pale Blue Eye
(2022)
",The Pale Blue Eye
18,The Pale Blue Eye,14/01/2023,The Pale Blue Eye,"
6.
The Pale Blue Eye
(2022)
",The Pale Blue Eye
19,The Pale Blue Eye,14/01/2023,The Pale Blue Eye,"
6.
The Pale Blue Eye
(2022)
",The Pale Blue Eye
20,The Pale Blue Eye,14/01/2023,The Pale Blue Eye,"
6.
The Pale Blue Eye
(2022)
",The Pale Blue Eye
21,The Pale Blue Eye,14/01/2023,The Pale Blue Eye,"
6.
The Pale Blue Eye
(2022)
",The Pale Blue Eye
22,The Pale Blue Eye,14/01/2023,The Pale Blue Eye,"
6.
The Pale Blue Eye
(2022)
",The Pale Blue Eye
23,1899: The Ship,08/01/2023,1899,"
58.
1899
(2022)
",1899
24,1899: The Ship,08/01/2023,1899,"
58.
1899
(2022)
",1899
25,White Noise,06/01/2023,White Noise,"
59.
White Noise
(I) (2022)
",White Noise
26,Gudetama: An Eggcellent Adventure: Ahhhh,05/01/2023,Gudetama,,
27,Guillermo del Toroâ€™s Pinocchio,05/01/2023,Guillermo del Toroâ€™s Pinocchio,,
28,Fantastic Fungi,24/12/2022,Fantastic Fungi,,
29,Gudetama: An Eggcellent Adventure: Is That the Best This Country Has to Offer?,23/12/2022,Gudetama,,
30,Gudetama: An Eggcellent Adventure: So Dizzy,23/12/2022,Gudetama,,
31,Gudetama: An Eggcellent Adventure: What a Dragâ€¦,23/12/2022,Gudetama,,
32,Best Leftovers Ever!: The Holidays!,23/12/2022,Best Leftovers Ever!,,
33,Guillermo del Toro's Cabinet of Curiosities: The Viewing,23/12/2022,Guillermo del Toro's Cabinet of Curiosities,,
34,Snack VS. Chef: KitKat,16/12/2022,Snack VS. Chef,,
35,Dream Home Makeover: Season 3: Open Concept Space,16/12/2022,Dream Home Makeover,,
36,Snack VS. Chef: Flamin' Hot Cheetos,16/12/2022,Snack VS. Chef,,
37,Easy-Bake Battle: The Home Cooking Competition: Midnight Mun-Cheese,15/12/2022,Easy-Bake Battle,,
38,Mind Your Manners: Ya Bish but Just Classy,15/12/2022,Mind Your Manners,,
39,Dream Home Makeover: Season 3: A Dream Kitchen Come True,14/12/2022,Dream Home Makeover,,
40,Dream Home Makeover: Season 2: Bedroom Oasis,14/12/2022,Dream Home Makeover,,
41,Dream Home Makeover: Season 2: Mountain Retreat Makeover,14/12/2022,Dream Home Makeover,,
42,Dream Home Makeover: Season 2: Restoring History,14/12/2022,Dream Home Makeover,,
43,Dream Home Makeover: Season 4: Kitchen Expansion,14/12/2022,Dream Home Makeover,,
